State,Year,Quater,Transaction_type,Transaction_count,Transaction_amount
punjab,2018,1,Peer-to-peer payments,690684,2412434633
punjab,2018,1,Merchant payments,87477,83873893
punjab,2018,1,Financial Services,60688,11162488
punjab,2018,1,Others,85246,77268587
punjab,2018,4,Peer-to-peer payments,2269375,9404088424
punjab,2018,4,Recharge & bill payments,1817964,825449591
punjab,2018,4,Merchant payments,648096,455091549
punjab,2018,4,Financial Services,62453,11832962
punjab,2018,4,Others,89249,85520045
punjab,2018,3,Peer-to-peer payments,1684209,6173898400
punjab,2018,3,Recharge & bill payments,1381730,622737633
punjab,2018,3,Merchant payments,274458,194883994
punjab,2018,3,Financial Services,54285,9429174
punjab,2018,3,Others,67426,64737840
punjab,2023,2,Merchant payments,64565961,41553118124
punjab,2023,2,Peer-to-peer payments,39301140,1.40E+11
punjab,2023,2,Recharge & bill payments,13207924,12183745216
punjab,2023,2,Financial Services,76961,95312222
punjab,2023,2,Others,138303,105749751
punjab,2023,1,Merchant payments,50683710,37462999833
punjab,2023,1,Peer-to-peer payments,33701280,1.26E+11
punjab,2023,1,Recharge & bill payments,12305439,11478972029
punjab,2023,1,Financial Services,70521,79209681
punjab,2023,1,Others,149871,122150166
punjab,2023,3,Merchant payments,74881815,46565196649
punjab,2023,3,Peer-to-peer payments,43379354,1.45E+11
punjab,2023,3,Recharge & bill payments,13684178,13149660821
punjab,2023,3,Financial Services,92473,129392229
punjab,2023,3,Others,123361,94910163
punjab,2021,2,Peer-to-peer payments,13180933,55282486111
punjab,2021,2,Merchant payments,11225598,9710508482
punjab,2021,2,Recharge & bill payments,7591039,4370756868
punjab,2021,2,Financial Services,46218,53309051
punjab,2021,2,Others,127460,113998049
punjab,2021,1,Peer-to-peer payments,10951083,46908632143
punjab,2021,1,Merchant payments,9333364,7651004598
punjab,2021,1,Recharge & bill payments,6332928,3980874403
punjab,2021,1,Financial Services,43094,52009482
punjab,2021,1,Others,110366,98366463
punjab,2021,4,Merchant payments,22669743,20753662875
